70	46716	 418097 772589 128693 976253 713588 676811 45629 847943 292585 521162
69	49542	 980990 93816 277997 42628 570270 963520 615406 762269 932877 289378
70	19198	 792865 979224 166264 511688 427738 58224 775170 193528 852031 806215
69	23689	 664581 986982 381942 150359 77208 887106 468868 91404 932697 975066
70	40292	 382318 414147 187816 654795 846047 183926 959174 71789 690876 248909
71	47989	 525056 338975 710607 910330 643679 901633 452963 195119 938763 690752
71	51792	 656433 150661 348762 377866 126522 124053 570977 144549 748611 994505
71	50508	 768477 339574 259456 164206 137109 982101 177327 498404 952432 317999
69	8509	 150690 618984 849863 47833 109350 481369 65483 348759 877099 195954
70	29693	 358443 616272 677092 898454 26043 924399 581713 343801 571152 341075
68	23690	 480803 38955 346527 4310 925702 864061 392663 887886 365724 533610
70	30395	 357353 646238 331920 537545 39015 810934 846137 111534 597895 757915
69	21517	 421547 250862 65414 430393 47755 139045 437591 250066 120256 321355
71	23889	 893317 838382 618709 541022 194932 467622 342246 617811 780607 620674
71	5901	 464640 875705 317402 216729 879864 156895 421480 859705 224392 585759
69	64820	 86633 877125 483184 364951 515628 821049 700077 455500 209119 75870
70	12034	 514039 391475 939081 786105 368024 388744 563502 16766 589869 849122
70	32148	 965422 240138 890027 466813 148364 585186 351421 877404 872546 17511
69	20475	 61536 792748 682484 999446 606612 520159 903474 558882 68607 58816 
70	23983	396253 721524 933097 101926 705904 785575 827419 454968 372752 221333
71	48378	 382399 103926 132299 407033 896644 667488 914963 206579 186837 335620
71	50041	 280330 194181 194141 700627 328503 923847 349891 262845 365913 136853
71	43513	 546382 139750 745736 143008 912759 790252 577326 890325 298808 407467
68	38277	 279574 86995 832921 82564 701976 546311 49575 581510 873006 404927
69	81	 304656 686175 547862 717379 29195 320642 319209 651804 16599 564239
70	11002	 13260 492894 614085 548641 843423 732695 856917 920414 172816 145885
69	35240	 828444 474162 628052 4606 139337 772621 420719 842129 511641 614765
70	35952	 93390 519312 812402 809487 107744 311111 358586 846630 843770 742562
71	10221	 793934 869287 875307 849495 666150 661262 887280 682123 914293 968739
71	19398	 651293 319424 868643 125788 868932 586158 623565 818530 376888 475918
71	58409	 668437 486300 485579 468512 397103 487985 135305 892046 990145 158778
71	5511	 956606 983397 760274 550177 528777 258401 721252 706163 716462 445251
71	9178	 123177 120868 186027 944338 721124 366761 452958 493580 491838 587515
68	7270	 671171 440611 350248 11588 250292 789931 16291 748870 815252 79927
70	26468	 579216 99841 837469 275515 464042 205707 303385 711314 505809 630286
70	16596	 333689 28902 747243 450669 774144 938056 738333 590157 179364 294428
71	24101	 695576 188239 976069 604407 874223 205052 938330 563770 764479 551867
70	4189	 351597 17914 692403 627267 734628 900765 486649 106381 776261 832689
70	27344	 319765 579144 539853 371557 663831 530683 656689 488390 324500 26580
67	44911	 25839 781733 3454 544734 916543 414583 20976 733338 246359 125816
69	32463	 628355 773346 310468 351499 318915 89711 554472 839931 252592 72382
70	53799	 497378 496665 959170 642370 67564 983769 784236 609067 524893 903208
71	12756	 693920 628292 715011 721047 565476 392113 257281 570193 459021 702069
70	23209	 535209 709734 872894 202412 649736 76238 732502 678198 866172 226911
71	56851	 490868 954747 395683 781313 673239 909341 975468 150467 590983 393443
70	45222	 115917 411453 16143 641350 536693 947076 784972 738919 861616 296153
70	25883	 752688 125404 16122 429056 166259 689091 478088 928301 647726 908421
70	34179	 326245 929127 474909 657837 448000 289336 717919 23241 329723 432790
70	39636	 910760 46298 496471 952013 826368 695700 862924 838892 612086 256230
68	3350	 624077 90509 782570 109072 4894 576815 947218 280020 760894 128049
68	22500	 61536 792748 682484 999446 606612 520159 903474 558882 68607 58816
71	35665	 483396 746324 213267 114160 438706 165176 138128 846961 228557 196909
71	9946	 692204 447291 320494 973721 498388 505528 225890 367761 582248 740695
71	30648	 783405 959916 382071 660128 642311 429828 731535 530699 134921 717899
70	18269	 912136 93978 213167 703293 377612 661678 816631 998390 362071 577035
71	36672	 408754 591819 749269 136219 775712 816768 803313 414771 941567 582499
68	17359	 26537 11823 913871 838352 880843 309032 520022 273717 899579 38606
71	4370	 248076 760866 781862 697332 224203 745846 214702 424010 151021 880578
70	48911	 988029 215416 813899 391474 321455 597080 83643 412636 442893 120520
70	48715	 700864 368911 684503 952453 540308 180846 60879 511829 828019 720965
69	52774	 846102 307866 67652 471050 752260 657078 446616 438897 24101 884613
70	35007	 385289 34746 509894 885464 927622 338791 959790 552275 690207 405122
71	56850	 675021 706097 665720 663594 122042 402050 159839 675666 933807 512843
71	53667	 736074 451942 895361 760106 776940 705727 226987 949801 370061 935337
69	59598	 540182 839303 890748 656236 13412 509037 649317 50529 120892 504954
71	45905	 487899 235768 667353 625688 833860 408305 804340 253623 300654 536007
71	24377	 679593 445268 900429 319318 854972 392921 346730 530276 887559 421714
Ok
